name,price,images,category,source_url,description
زنجبيل اخضر 500غم,12.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480061-IMG_5546-no-bg.png?generation=1734368033546112&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480061,
بروكلي علبة,10.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480062-1480062-ai-optimized.png?generation=1768328590255519&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480062,
بصل هندي 1 كيلو,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480063-1480063-ai-optimized.png?generation=1772655832250337&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480063,
سيرلي كرافس 1 كيلو,7.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480066-1480066-ai-optimized.png?generation=1772656653233056&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480066,
كيلورابي 1 كيلو,10.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480067-1480067-ai-optimized.png?generation=1772656245903262&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480067,
قرع اصفر 1كيلو,7.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480068-1480068-ai-optimized.png?generation=1772656823049422&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480068,
فجل مبكت,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480069-1480069-ai-optimized.png?generation=1772656999418806&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480069,
شمندر 1 كيلو,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480070-1480070-ai-optimized.png?generation=1772656371165201&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480070,
علبة لب خس,10.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480071-1480071-ai-optimized.png?generation=1772657149274120&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480071,
علبة فلفل بيبي حلو,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480073-1480073-ai-optimized.png?generation=1772657534091034&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480073,
علبة ثوم مقشر 1 كيلو,20.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480074-1480074-ai-optimized.png?generation=1772656293802675&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480074,
فطر حبة كبيرة ابيض 500 غم,22.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480079-1480079-ai-optimized.png?generation=1768511242825503&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480079,
علبة خس ليلك (برغر),12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480084-1480084-ai-optimized.png?generation=1772657184721694&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480084,
علبة ذرة مبكت,15.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480085-1480085-ai-optimized.png?generation=1772657038676037&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480085,
كيس جزر بيبي,7.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480086-1480086-ai-optimized.png?generation=1772657606671460&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480086,
كيس بطاطا بيبي,12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480087-1480087-ai-optimized.png?generation=1772657641680695&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480087,
علبة روزماري,6.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480088-1480088-ai-optimized.png?generation=1772657319133593&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480088,
علبة اعشاب طعام,18.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480089-1480089-ai-optimized.png?generation=1772657444391844&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480089,
علبة مسفلورة,23.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480092-1480092-ai-optimized.png?generation=1772657357000780&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480092,
تفاح مشكل جولاني 1 كيلو,12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1550001-1550001-ai-optimized.png?generation=1768329120745167&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/فواكة/product/1550001,
تفاح احمر 1 كيلو,12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1550002-1550002-ai-optimized.png?generation=1768329156909564&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/فواكة/product/1550002,
زيتون اخضر مع عجم عيدن 560غم,6.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/10299-IMG_6774-no-bg.png?generation=1736340855977882&alt=media,مواد تموينية,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/10299,
مبيض مارينا 400 غم,13.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/10339-IMG_E1379-no-bg.png?generation=1728386075144934&alt=media,مواد تموينية,https://biddimarket.ps/orders/category/قهوة-شاي-نسكافية/product/10339,
روح الخل 250 مل الشيخ قاسم,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/10523-IMG_E2933-no-bg.png?generation=1730983259254384&alt=media,مواد تموينية,https://biddimarket.ps/orders/category/شوربات-وصوصات/product/10523,
مخلل خيار بالخل 7_9 زيتا,4.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110007-IMG_4670-no-bg.png?generation=1733838399824578&alt=media,مواد تموينية,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110007,
صلصة بندورة زيتا 2.5 كغم,23.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110134-IMG_E0962-no-bg.png?generation=1730984102507601&alt=media,مواد تموينية,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110134,
